Species name,Total.no.trees,Total.cities.species.occurs.in,Total.carbon.stored.tonnes
Sequoia sempervirens,593,13,346.3103486
Sequoiadendron giganteum,574,15,1367.461201
Sorbus aria,4000,16,981.0994607
Sorbus aucuparia,6476,20,624.559801
Sorbus intermedia,6217,16,2253.661911
Sorbus thuringiaca,1073,11,184.7661408
Sorbus torminalis,302,13,31.30969564
Tamarix gallica,343,7,30.72909838
Taxodium distichum,433,14,368.3721251
Taxus baccata,7900,19,1561.986816
Thuja,521,10,27.48806819
Thuja occidentalis,3016,14,54.32643748
Thuja plicata,1052,15,268.620071
Tilia americana,1069,12,358.960522
Tilia cordata,50927,21,16767.62332
Tilia dasystyla,275,4,100.7679431
Tilia euchlora,3473,14,1454.064177
Tilia europaea,62156,18,42885.89065
Tilia platyphyllos,22911,21,7995.802053
Tilia tomentosa,22621,18,5686.482602
Toona sinensis,902,5,259.1031647
Ulmus americana,438,3,302.8284905
Ulmus carpinifolia,1184,2,390.7123742
Ulmus glabra,2837,17,1121.864593
Ulmus hollandica,795,10,289.3706912
Ulmus laevis,600,11,396.3416919
Ulmus pumila,5221,12,2790.209669
Zelkova serrata,1214,11,95.42400996
